fold,heldout_ecozones,model,R2,RMSE,MAE,Bias
1,Boreal Shield,Mechanistic only,0.9453602135608307,42.31948910358157,31.006882151822165,-30.473250678447158
1,Boreal Shield,AI only,0.997455582275385,9.132299070382,7.099885406054911,-0.1506273682160983
1,Boreal Shield,Hybrid mechanistic + AI residual,0.997890600167515,8.315059726528688,6.603439288147384,-0.12235617104708926
2,"Atlantic Maritime, Prairies",Mechanistic only,0.9433552057803342,37.22210804342978,27.548605325003734,-27.105953290904086
2,"Atlantic Maritime, Prairies",AI only,0.9968785486476194,8.73774264401281,6.7525323868451625,-0.0756085364952815
2,"Atlantic Maritime, Prairies",Hybrid mechanistic + AI residual,0.997372789519818,8.016197296894333,6.359041057946324,0.1451190003337222
3,"Boreal Plains, Montane Cordillera",Mechanistic only,0.9441881718281571,42.29883865040612,31.302731746285342,-30.96947161782154
3,"Boreal Plains, Montane Cordillera",AI only,0.9975193118387163,8.917670189644419,6.947005817176177,0.2928772977572758
3,"Boreal Plains, Montane Cordillera",Hybrid mechanistic + AI residual,0.9979276662119773,8.150704970433358,6.486092466877375,0.22993072412027096
4,"Hudson Plains, Pacific Maritime",Mechanistic only,0.9406927515285488,42.41134455836541,31.70343668183723,-31.291586573766622
4,"Hudson Plains, Pacific Maritime",AI only,0.997269792484595,9.099677107495335,7.101413922348805,-0.37545426656641695
4,"Hudson Plains, Pacific Maritime",Hybrid mechanistic + AI residual,0.997724598078365,8.307248719704027,6.5857924873864935,-0.2967754438109731
5,"Mixedwood Plains, Taiga Plains",Mechanistic only,0.9575963920998806,54.7825623714717,38.70201425826071,-38.40810271921838
5,"Mixedwood Plains, Taiga Plains",AI only,0.8875860141028028,89.19717715311096,12.787454016391862,-4.798368910887266
5,"Mixedwood Plains, Taiga Plains",Hybrid mechanistic + AI residual,0.9965935720866234,15.527106731003807,7.703879517642689,-0.5909177589437138
